route,before_component,after_component,after_destination,evidence_type
"/maryland/silver-spring","LocationSilverSpring","LocationSilverSpring","/maryland/silver-spring","matched before/after screenshots"
"/north-carolina","LocationNorthCarolina","LocationNorthCarolina","/north-carolina","matched before/after screenshots"
"/north-carolina/apex","LocationApexNC","LocationApexNC","/north-carolina/apex","matched before/after screenshots"
"/north-carolina/asheville","LocationAshevilleNC","LocationAshevilleNC","/north-carolina/asheville","matched before/after screenshots"
"/north-carolina/cary","LocationCaryNC","LocationCaryNC","/north-carolina/cary","matched before/after screenshots"
"/north-carolina/chapel-hill","LocationChapelHillNC","LocationChapelHillNC","/north-carolina/chapel-hill","matched before/after screenshots"
"/north-carolina/charlotte","LocationCharlotteNC","LocationCharlotteNC","/north-carolina/charlotte","matched before/after screenshots"
"/north-carolina/mooresville","LocationMooresvilleNC","LocationMooresvilleNC","/north-carolina/mooresville","matched before/after screenshots"
"/north-carolina/pinehurst","LocationPinehurstNC","LocationPinehurstNC","/north-carolina/pinehurst","matched before/after screenshots"
"/north-carolina/raleigh","LocationRaleighNC","LocationRaleighNC","/north-carolina/raleigh","matched before/after screenshots"
"/north-carolina/southern-pines","LocationSouthernPinesNC","LocationSouthernPinesNC","/north-carolina/southern-pines","matched before/after screenshots"
"/north-carolina/waxhaw","LocationWaxhawNC","LocationWaxhawNC","/north-carolina/waxhaw","matched before/after screenshots"
"/north-carolina/wilmington","LocationWilmingtonNC","LocationWilmingtonNC","/north-carolina/wilmington","matched before/after screenshots"
"/pennsylvania/doylestown","LocationDoylestownPA","LocationDoylestownPA","/pennsylvania/doylestown","matched before/after screenshots"
"/pennsylvania/horsham","LocationHorshamPA","LocationHorshamPA","/pennsylvania/horsham","matched before/after screenshots"
"/pennsylvania/kennett-square","LocationKennettSquarePA","LocationKennettSquarePA","/pennsylvania/kennett-square","matched before/after screenshots"
"/pennsylvania/lansdale","LocationLansdalePA","LocationLansdalePA","/pennsylvania/lansdale","matched before/after screenshots"
"/pennsylvania/malvern","LocationMalvernPA","LocationMalvernPA","/pennsylvania/malvern","matched before/after screenshots"
"/pennsylvania/newtown","LocationNewtownPA","LocationNewtownPA","/pennsylvania/newtown","matched before/after screenshots"
"/pennsylvania/newtown-square","LocationNewtownSquarePA","LocationNewtownSquarePA","/pennsylvania/newtown-square","matched before/after screenshots"
"/pennsylvania/philadelphia","LocationPhiladelphiaPA","LocationPhiladelphiaPA","/pennsylvania/philadelphia","matched before/after screenshots"
"/pennsylvania/pittsburgh","LocationPittsburghPA","LocationPittsburghPA","/pennsylvania/pittsburgh","matched before/after screenshots"
"/pennsylvania/wayne","LocationWaynePA","LocationWaynePA","/pennsylvania/wayne","matched before/after screenshots"
"/pennsylvania/west-chester","LocationWestChesterPA","LocationWestChesterPA","/pennsylvania/west-chester","matched before/after screenshots"
"/pricing-guide","dynamic/manual","HTTP 301 redirect","/","before screenshot + redirect proof + destination screenshot"
"/start/women","StartWomen","StartWomen","/","before screenshot + redirect proof + destination screenshot"
"/terms","TermsOfService","TermsOfService","/terms","matched before/after screenshots"
"/texas","LocationTexas","LocationTexas","/texas","matched before/after screenshots"
"/texas/austin","LocationAustinTX","LocationAustinTX","/texas/austin","matched before/after screenshots"
"/texas/dallas","LocationDallasTX","LocationDallasTX","/texas/dallas","matched before/after screenshots"
"/texas/frisco","LocationFriscoTX","LocationFriscoTX","/texas/frisco","matched before/after screenshots"
"/texas/houston","LocationHoustonTX","LocationHoustonTX","/texas/houston","matched before/after screenshots"
"/texas/mckinney","LocationMcKinneyTX","LocationMcKinneyTX","/texas/mckinney","matched before/after screenshots"
"/texas/plano","LocationPlanoTX","LocationPlanoTX","/texas/plano","matched before/after screenshots"
"/texas/round-rock","LocationRoundRockTX","LocationRoundRockTX","/texas/round-rock","matched before/after screenshots"
"/texas/san-antonio","LocationSanAntonioTX","LocationSanAntonioTX","/texas/san-antonio","matched before/after screenshots"
"/texas/sugar-land","LocationSugarLandTX","LocationSugarLandTX","/texas/sugar-land","matched before/after screenshots"
"/texas/the-woodlands","LocationTheWoodlandsTX","LocationTheWoodlandsTX","/texas/the-woodlands","matched before/after screenshots"
"/the-menopause-weight-loss-trap","BookPage","HTTP 301 redirect","/","before screenshot + redirect proof + destination screenshot"
"/virginia","LocationVirginia","LocationVirginia","/virginia","matched before/after screenshots"
"/virginia/alexandria","LocationAlexandriaVA","LocationAlexandriaVA","/virginia/alexandria","matched before/after screenshots"
"/virginia/arlington","LocationArlington","LocationArlington","/virginia/arlington","matched before/after screenshots"
"/virginia/culpeper","LocationCulpeperVA","LocationCulpeperVA","/virginia/culpeper","matched before/after screenshots"
"/virginia/falls-church","LocationFallsChurchVA","LocationFallsChurchVA","/virginia/falls-church","matched before/after screenshots"
"/virginia/fredericksburg","LocationFredericksburgVA","LocationFredericksburgVA","/virginia/fredericksburg","matched before/after screenshots"
"/virginia/great-falls","LocationGreatFalls","LocationGreatFalls","/virginia/great-falls","matched before/after screenshots"
"/virginia/herndon","LocationHerndonVA","LocationHerndonVA","/virginia/herndon","matched before/after screenshots"
"/virginia/leesburg","LocationLeesburgVA","LocationLeesburgVA","/virginia/leesburg","matched before/after screenshots"
"/virginia/mclean","LocationMcLean","LocationMcLean","/virginia/mclean","matched before/after screenshots"
"/virginia/middleburg","LocationMiddleburgVA","LocationMiddleburgVA","/virginia/middleburg","matched before/after screenshots"
"/virginia/reston","LocationReston","LocationReston","/virginia/reston","matched before/after screenshots"
"/virginia/tysons","LocationTysonsVA","LocationTysonsVA","/virginia/tysons","matched before/after screenshots"
"/virginia/vienna","LocationVienna","LocationVienna","/virginia/vienna","matched before/after screenshots"
"/virginia/warrenton","LocationWarrentonVA","LocationWarrentonVA","/virginia/warrenton","matched before/after screenshots"
"/washington-dc","LocationDC","LocationDC","/washington-dc","matched before/after screenshots"
"/washington-dc/capitol-hill","LocationCapitolHill","LocationCapitolHill","/washington-dc/capitol-hill","matched before/after screenshots"
"/washington-dc/chevy-chase-dc","LocationChevyChaseDC","LocationChevyChaseDC","/washington-dc/chevy-chase-dc","matched before/after screenshots"
"/washington-dc/dupont-circle","LocationDupontCircle","LocationDupontCircle","/washington-dc/dupont-circle","matched before/after screenshots"
"/washington-dc/friendship-heights","LocationFriendshipHeights","LocationFriendshipHeights","/washington-dc/friendship-heights","matched before/after screenshots"
"/washington-dc/georgetown","LocationGeorgetown","LocationGeorgetown","/washington-dc/georgetown","matched before/after screenshots"
